id,review_id,variant,status,metadata_country,reviewed_image_country,candidate,probability,location_evidence_probability,review_certainty,review_evidence
op-56158,1,baseline-v1,ok,ES,ES,ES,1.0,,high,"Barcelona, Spain, +34 and Spanish NIF printed in the header."
op-56158,1,focused-v2,ok,ES,ES,ES,1.0,0.98,high,"Barcelona, Spain, +34 and Spanish NIF printed in the header."
op-48052,2,baseline-v1,ok,US,US,US,1.0,,high,Mountain View CA 94040 address and 650 telephone area code.
op-48052,2,focused-v2,ok,US,US,US,1.0,0.96,high,Mountain View CA 94040 address and 650 telephone area code.
op-134390,3,baseline-v1,ok,DE,DE,DE,1.0,,high,Berlin/Marzahn address and DE VAT identifier.
op-134390,3,focused-v2,ok,DE,DE,DE,1.0,0.97,high,Berlin/Marzahn address and DE VAT identifier.
op-7471,4,baseline-v1,ok,GB,GB,GB,1.0,,high,Southampton SO40 7BE address and GBP amounts.
op-7471,4,focused-v2,ok,GB,GB,GB,1.0,0.94,high,Southampton SO40 7BE address and GBP amounts.
op-51357,5,baseline-v1,ok,ES,ES,ES,0.99,,high,Spanish CIF B-95390761 and factura simplificada; Eroski Alfons el Magn header.
op-51357,5,focused-v2,ok,ES,ES,ES,0.99,0.93,high,Spanish CIF B-95390761 and factura simplificada; Eroski Alfons el Magn header.
op-7604,6,baseline-v1,ok,CA,UNKNOWN,UNKNOWN,0.86,,not_determinable,Only cropped English product lines and $ amounts; no merchant location survives.
op-7604,6,focused-v2,ok,CA,UNKNOWN,UNKNOWN,0.89,0.14,not_determinable,Only cropped English product lines and $ amounts; no merchant location survives.
op-48271,7,baseline-v1,extraction_error,DE,DE,,,,high,10719 Berlin address and lidl.de.
op-48271,7,focused-v2,extraction_error,DE,DE,,,,high,10719 Berlin address and lidl.de.
op-51522,8,baseline-v1,ok,FR,FR,FR,1.0,,high,92110 Clichy address and French telephone format.
op-51522,8,focused-v2,ok,FR,FR,FR,1.0,0.95,high,92110 Clichy address and French telephone format.
op-56032,9,baseline-v1,ok,ES,ES,ES,1.0,,high,"Barcelona and Guissona addresses, Spanish NIF and Catalan fiscal labels."
op-56032,9,focused-v2,ok,ES,ES,ES,1.0,0.96,high,"Barcelona and Guissona addresses, Spanish NIF and Catalan fiscal labels."
op-18171,10,baseline-v1,ok,IT,IT,IT,1.0,,high,"Bolzano 39100 (BZ), Partita IVA and documento commerciale."
op-18171,10,focused-v2,ok,IT,IT,IT,1.0,0.94,high,"Bolzano 39100 (BZ), Partita IVA and documento commerciale."
op-53583,11,baseline-v1,ok,ES,ES,ES,1.0,,high,"Valladolid/San Vicente del Palacio 47493, CIF and factura simplificada."
op-53583,11,focused-v2,ok,ES,ES,ES,1.0,0.96,high,"Valladolid/San Vicente del Palacio 47493, CIF and factura simplificada."
op-94248,12,baseline-v1,ok,US,US,US,1.0,,high,Huntington NY store address and New York Avenue.
op-94248,12,focused-v2,ok,US,US,US,1.0,0.96,high,Huntington NY store address and New York Avenue.
op-63185,13,baseline-v1,ok,DE,DE,DE,0.57,,medium,"German receipt conventions, Pfandartikel and 7% food VAT; cropped location. Inferred, medium certainty."
op-63185,13,focused-v2,ok,DE,DE,DE,0.85,0.2,medium,"German receipt conventions, Pfandartikel and 7% food VAT; cropped location. Inferred, medium certainty."
op-50961,14,baseline-v1,ok,CA,CA,CA,1.0,,high,New Westminster BC V3L 3C2 and walmart.ca.
op-50961,14,focused-v2,ok,CA,CA,CA,1.0,0.97,high,New Westminster BC V3L 3C2 and walmart.ca.
op-118228,15,baseline-v1,ok,FR,UNKNOWN,FR,0.6900000000000001,,not_determinable,Rotated cropped product list in French/English; no clear location or unique country identifier.
op-118228,15,focused-v2,ok,FR,UNKNOWN,FR,0.98,0.53,not_determinable,Rotated cropped product list in French/English; no clear location or unique country identifier.
op-84026,16,baseline-v1,ok,ES,ES,ES,1.0,,high,Madrid address and Spanish CIF A28090108.
op-84026,16,focused-v2,ok,ES,ES,ES,1.0,0.97,high,Madrid address and Spanish CIF A28090108.
op-7542,17,baseline-v1,ok,FR,FR,FR,1.0,,high,38320 Bresson address and French tax/telephone conventions.
op-7542,17,focused-v2,ok,FR,FR,FR,1.0,0.96,high,38320 Bresson address and French tax/telephone conventions.
op-52074,18,baseline-v1,ok,FR,FR,FR,1.0,,high,93100 Montreuil address and French telephone number.
op-52074,18,focused-v2,ok,FR,FR,FR,1.0,0.96,high,93100 Montreuil address and French telephone number.
op-56123,19,baseline-v1,ok,CA,CA,CA,0.97,,medium,"519 telephone area code, Zehrs merchant and Canadian grocery conventions. Inferred from area code."
op-56123,19,focused-v2,ok,CA,CA,CA,0.94,0.9,medium,"519 telephone area code, Zehrs merchant and Canadian grocery conventions. Inferred from area code."
op-8422,20,baseline-v1,ok,IT,IT,IT,0.59,,medium,"Documento/RT fiscal footer, Italian wording and tax structure; header blurry. Inferred, medium certainty."
op-8422,20,focused-v2,ok,IT,IT,IT,0.99,0.38,medium,"Documento/RT fiscal footer, Italian wording and tax structure; header blurry. Inferred, medium certainty."
op-16102,21,baseline-v1,ok,IT,IT,IT,1.0,,high,"91026 Mazara del Vallo (TP), P.IVA, Italian commercial document."
op-16102,21,focused-v2,ok,IT,IT,IT,1.0,0.97,high,"91026 Mazara del Vallo (TP), P.IVA, Italian commercial document."
op-14994,22,baseline-v1,ok,IT,IT,IT,1.0,,high,"Bolzano 39100 (BZ), Partita IVA, Italian commercial document."
op-14994,22,focused-v2,ok,IT,IT,IT,1.0,0.94,high,"Bolzano 39100 (BZ), Partita IVA, Italian commercial document."
